Series,Transform.,ADF-Stat.,ADF p-value,ADF verdict,KPSS-Stat.,KPSS p-value,KPSS verdict,Overall
HICP,Level,0.778,0.9913,I(1)?,2.443,0.01,I(1)?,non-stationary
HICP,YoY (%),-3.3,0.0149,I(0),0.491,0.0437,I(1)?,unclear/persistent
IP (manufacturing),Level,-2.366,0.1515,I(1)?,1.484,0.01,I(1)?,non-stationary
IP (manufacturing),YoY (%),-3.371,0.012,I(0),0.198,0.1,I(0),stationary
PPI (total),Level,-0.487,0.8945,I(1)?,2.051,0.01,I(1)?,non-stationary
PPI (total),YoY (%),-3.355,0.0126,I(0),0.139,0.1,I(0),stationary
BS (business climate),Level,-4.763,0.0001,I(0),0.162,0.1,I(0),stationary
BS (business climate),YoY (%),-18.278,0.0,I(0),0.161,0.1,I(0),stationary
ALQ (total),Level,-0.837,0.808,I(1)?,2.342,0.01,I(1)?,non-stationary
ALQ (total),YoY (%),-3.381,0.0116,I(0),0.279,0.1,I(0),stationary
LCI (labour cost BN),Level,-0.601,0.8708,I(1)?,2.8,0.01,I(1)?,non-stationary
LCI (labour cost BN),YoY (%),-2.453,0.1273,I(1)?,0.539,0.033,I(1)?,non-stationary
